p,r
_:b2071,_:b2074
_:b2075,_:b2076
_:b2075,_:b2077
_:b2078,_:b2079
_:b2078,_:b2080
_:b2081,_:b2082
_:b2081,_:b2083
_:b2084,_:b2085
_:b2086,_:b2087
_:b2086,_:b2088
_:b2089,_:b2090
_:b2091,_:b2092
_:b2093,_:b2094
_:b2093,_:b2095
_:b2096,_:b2097
_:b2098,_:b2099
_:b2100,_:b2101
_:b2100,_:b2102
_:b2100,_:b2103
_:b2104,_:b2105
_:b2104,_:b2106
_:b2107,_:b2108
_:b2109,_:b2110
_:b2109,_:b2111
_:b2112,_:b2113
_:b2114,_:b2115
_:b2116,_:b2117
_:b2116,_:b2118
_:b2119,_:b2120
_:b2119,_:b2121
