run,query,data,type,phase,netw_time,reas_time
2,query-2.n3,data_100.nt,fwd,total,39,5146
2,query-20.n3,data_100.nt,fwd,create,17,117
2,query-20.n3,data_100.nt,fwd,run,30,201
2,query-20.n3,data_100.nt,fwd,total,47,318
2,query-21.n3,data_100.nt,fwd,create,17,40
2,query-21.n3,data_100.nt,fwd,run,16,5
2,query-21.n3,data_100.nt,fwd,total,33,45
2,query-22.n3,data_100.nt,fwd,create,17,61
2,query-22.n3,data_100.nt,fwd,run,20,41
2,query-22.n3,data_100.nt,fwd,total,37,102
2,query-23.n3,data_100.nt,fwd,create,16,68
2,query-23.n3,data_100.nt,fwd,run,17,95
2,query-23.n3,data_100.nt,fwd,total,33,163
2,query-24.n3,data_100.nt,fwd,create,17,101
2,query-24.n3,data_100.nt,fwd,run,22,668
2,query-24.n3,data_100.nt,fwd,total,39,769
2,query-25.n3,data_100.nt,fwd,create,17,61
2,query-25.n3,data_100.nt,fwd,run,16,15
2,query-25.n3,data_100.nt,fwd,total,33,76
2,query-26.n3,data_100.nt,fwd,create,17,52
2,query-26.n3,data_100.nt,fwd,run,15,4
2,query-26.n3,data_100.nt,fwd,total,32,56
2,query-27.n3,data_100.nt,fwd,create,17,81
2,query-27.n3,data_100.nt,fwd,run,24,199
2,query-27.n3,data_100.nt,fwd,total,41,280
2,query-28.n3,data_100.nt,fwd,create,17,110
2,query-28.n3,data_100.nt,fwd,run,28,226
2,query-28.n3,data_100.nt,fwd,total,45,336
2,query-29.n3,data_100.nt,fwd,create,17,72
2,query-29.n3,data_100.nt,fwd,run,18,125
2,query-29.n3,data_100.nt,fwd,total,35,197
2,query-3.n3,data_100.nt,fwd,create,17,66
2,query-3.n3,data_100.nt,fwd,run,20,155
2,query-3.n3,data_100.nt,fwd,total,37,221
2,query-30.n3,data_100.nt,fwd,create,16,74
2,query-30.n3,data_100.nt,fwd,run,18,11
2,query-30.n3,data_100.nt,fwd,total,34,85
2,query-31.n3,data_100.nt,fwd,create,17,63
2,query-31.n3,data_100.nt,fwd,run,17,1185
2,query-31.n3,data_100.nt,fwd,total,34,1248
2,query-32.n3,data_100.nt,fwd,create,17,64
2,query-32.n3,data_100.nt,fwd,run,20,15
2,query-32.n3,data_100.nt,fwd,total,37,79
2,query-33.n3,data_100.nt,fwd,create,17,68
2,query-33.n3,data_100.nt,fwd,run,20,16
2,query-33.n3,data_100.nt,fwd,total,37,84
